time,tp,statlon,statlat,station_id_num,obsdis,country,continent
1979-01-02,0.029755462,147.35,69.58,11.0,42.0,RUSSIAN FEDERATION,Asia
1979-01-03,0.4151145,147.35,69.58,11.0,41.0,RUSSIAN FEDERATION,Asia
1979-01-04,0.3615364,147.35,69.58,11.0,40.0,RUSSIAN FEDERATION,Asia
1979-01-05,0.89462215,147.35,69.58,11.0,39.0,RUSSIAN FEDERATION,Asia
1979-01-06,0.50448996,147.35,69.58,11.0,38.0,RUSSIAN FEDERATION,Asia
1979-01-07,0.5656458,147.35,69.58,11.0,37.0,RUSSIAN FEDERATION,Asia
1979-01-08,0.40887818,147.35,69.58,11.0,36.0,RUSSIAN FEDERATION,Asia
1979-01-09,0.3649493,147.35,69.58,11.0,35.0,RUSSIAN FEDERATION,Asia
1979-01-10,1.2058344,147.35,69.58,11.0,34.0,RUSSIAN FEDERATION,Asia
1979-01-11,2.0728354,147.35,69.58,11.0,33.0,RUSSIAN FEDERATION,Asia
1979-01-12,1.9942412,147.35,69.58,11.0,32.0,RUSSIAN FEDERATION,Asia
1979-01-13,1.7813143,147.35,69.58,11.0,31.0,RUSSIAN FEDERATION,Asia
1979-01-14,0.8496951,147.35,69.58,11.0,31.0,RUSSIAN FEDERATION,Asia
1979-01-15,0.3598713,147.35,69.58,11.0,30.0,RUSSIAN FEDERATION,Asia
1979-01-16,0.15433389,147.35,69.58,11.0,29.0,RUSSIAN FEDERATION,Asia
1979-01-17,0.07900721,147.35,69.58,11.0,29.0,RUSSIAN FEDERATION,Asia
1979-01-18,0.040747624,147.35,69.58,11.0,28.0,RUSSIAN FEDERATION,Asia
1979-01-19,0.061747618,147.35,69.58,11.0,27.0,RUSSIAN FEDERATION,Asia
1979-01-20,0.13224815,147.35,69.58,11.0,26.0,RUSSIAN FEDERATION,Asia
1979-01-21,0.22378808,147.35,69.58,11.0,26.0,RUSSIAN FEDERATION,Asia
1979-01-22,0.24134901,147.35,69.58,11.0,26.0,RUSSIAN FEDERATION,Asia
1979-01-23,0.17809711,147.35,69.58,11.0,25.0,RUSSIAN FEDERATION,Asia
1979-01-24,0.6024419,147.35,69.58,11.0,25.0,RUSSIAN FEDERATION,Asia
1979-01-25,0.45671657,147.35,69.58,11.0,24.0,RUSSIAN FEDERATION,Asia
1979-01-26,0.13720126,147.35,69.58,11.0,23.0,RUSSIAN FEDERATION,Asia
1979-01-27,0.120468475,147.35,69.58,11.0,23.0,RUSSIAN FEDERATION,Asia
1979-01-28,0.08948054,147.35,69.58,11.0,23.0,RUSSIAN FEDERATION,Asia
1979-01-29,0.029445067,147.35,69.58,11.0,21.0,RUSSIAN FEDERATION,Asia
1979-01-30,0.008097295,147.35,69.58,11.0,21.0,RUSSIAN FEDERATION,Asia
1979-01-31,0.2117625,147.35,69.58,11.0,20.0,RUSSIAN FEDERATION,Asia
1979-02-01,0.14732647,147.35,69.58,11.0,20.0,RUSSIAN FEDERATION,Asia
1979-02-02,0.18511453,147.35,69.58,11.0,20.0,RUSSIAN FEDERATION,Asia
1979-02-03,0.020778034,147.35,69.58,11.0,19.0,RUSSIAN FEDERATION,Asia
1979-02-04,0.08911427,147.35,69.58,11.0,19.0,RUSSIAN FEDERATION,Asia
1979-02-05,0.8344791,147.35,69.58,11.0,19.0,RUSSIAN FEDERATION,Asia
1979-02-06,0.32571608,147.35,69.58,11.0,19.0,RUSSIAN FEDERATION,Asia
1979-02-07,0.041411843,147.35,69.58,11.0,18.0,RUSSIAN FEDERATION,Asia
1979-02-08,0.17153145,147.35,69.58,11.0,18.0,RUSSIAN FEDERATION,Asia
1979-02-09,0.24997193,147.35,69.58,11.0,18.0,RUSSIAN FEDERATION,Asia
1979-02-10,0.21436472,147.35,69.58,11.0,18.0,RUSSIAN FEDERATION,Asia
1979-02-11,0.07513249,147.35,69.58,11.0,17.0,RUSSIAN FEDERATION,Asia
1979-02-12,0.023921592,147.35,69.58,11.0,17.0,RUSSIAN FEDERATION,Asia
1979-02-13,0.27038014,147.35,69.58,11.0,17.0,RUSSIAN FEDERATION,Asia
1979-02-14,0.80294424,147.35,69.58,11.0,16.0,RUSSIAN FEDERATION,Asia
1979-02-15,0.23861046,147.35,69.58,11.0,16.0,RUSSIAN FEDERATION,Asia
1979-02-16,0.007943448,147.35,69.58,11.0,16.0,RUSSIAN FEDERATION,Asia
1979-02-17,0.021444721,147.35,69.58,11.0,16.0,RUSSIAN FEDERATION,Asia
1979-02-18,0.014764719,147.35,69.58,11.0,16.0,RUSSIAN FEDERATION,Asia
1979-02-19,0.07872233,147.35,69.58,11.0,15.0,RUSSIAN FEDERATION,Asia
1979-02-20,0.055097636,147.35,69.58,11.0,15.0,RUSSIAN FEDERATION,Asia
1979-02-21,0.30237,147.35,69.58,11.0,15.0,RUSSIAN FEDERATION,Asia
1979-02-22,0.39411262,147.35,69.58,11.0,14.0,RUSSIAN FEDERATION,Asia
1979-02-23,0.13225019,147.35,69.58,11.0,14.0,RUSSIAN FEDERATION,Asia
1979-02-24,0.07449416,147.35,69.58,11.0,14.0,RUSSIAN FEDERATION,Asia
1979-02-25,0.004409265,147.35,69.58,11.0,13.0,RUSSIAN FEDERATION,Asia
1979-02-26,0.0031316017,147.35,69.58,11.0,13.0,RUSSIAN FEDERATION,Asia
1979-02-27,0.030384453,147.35,69.58,11.0,13.0,RUSSIAN FEDERATION,Asia
1979-02-28,0.23557457,147.35,69.58,11.0,13.0,RUSSIAN FEDERATION,Asia
1979-03-01,0.27920628,147.35,69.58,11.0,13.0,RUSSIAN FEDERATION,Asia
1979-03-02,0.15160798,147.35,69.58,11.0,13.0,RUSSIAN FEDERATION,Asia
1979-03-03,0.088384695,147.35,69.58,11.0,13.0,RUSSIAN FEDERATION,Asia
1979-03-04,0.13182354,147.35,69.58,11.0,13.0,RUSSIAN FEDERATION,Asia
1979-03-05,0.054619752,147.35,69.58,11.0,13.0,RUSSIAN FEDERATION,Asia
1979-03-06,0.17259666,147.35,69.58,11.0,12.0,RUSSIAN FEDERATION,Asia
1979-03-07,0.055624537,147.35,69.58,11.0,12.0,RUSSIAN FEDERATION,Asia
1979-03-08,0.007632055,147.35,69.58,11.0,12.0,RUSSIAN FEDERATION,Asia
1979-03-09,0.105080925,147.35,69.58,11.0,12.0,RUSSIAN FEDERATION,Asia
1979-03-10,0.06514409,147.35,69.58,11.0,12.0,RUSSIAN FEDERATION,Asia
1979-03-11,0.016900443,147.35,69.58,11.0,12.0,RUSSIAN FEDERATION,Asia
1979-03-12,0.112186246,147.35,69.58,11.0,12.0,RUSSIAN FEDERATION,Asia
1979-03-13,0.052866355,147.35,69.58,11.0,11.0,RUSSIAN FEDERATION,Asia
1979-03-14,0.007467548,147.35,69.58,11.0,11.0,RUSSIAN FEDERATION,Asia
1979-03-15,0.01475254,147.35,69.58,11.0,13.0,RUSSIAN FEDERATION,Asia
1979-03-16,0.110534675,147.35,69.58,11.0,11.0,RUSSIAN FEDERATION,Asia
1979-03-17,0.46940246,147.35,69.58,11.0,11.0,RUSSIAN FEDERATION,Asia
1979-03-18,0.031580698,147.35,69.58,11.0,11.0,RUSSIAN FEDERATION,Asia
1979-03-19,0.09405226,147.35,69.58,11.0,11.0,RUSSIAN FEDERATION,Asia
1979-03-20,0.3083903,147.35,69.58,11.0,10.0,RUSSIAN FEDERATION,Asia
1979-03-21,0.040103674,147.35,69.58,11.0,10.0,RUSSIAN FEDERATION,Asia
1979-03-22,0.013942253,147.35,69.58,11.0,10.0,RUSSIAN FEDERATION,Asia
1979-03-23,0.014913828,147.35,69.58,11.0,10.0,RUSSIAN FEDERATION,Asia
1979-03-24,0.025404897,147.35,69.58,11.0,10.0,RUSSIAN FEDERATION,Asia
1979-03-25,0.010071558,147.35,69.58,11.0,9.0,RUSSIAN FEDERATION,Asia
1979-03-26,0.18172894,147.35,69.58,11.0,9.0,RUSSIAN FEDERATION,Asia
1979-03-27,0.89058304,147.35,69.58,11.0,8.0,RUSSIAN FEDERATION,Asia
1979-03-28,1.1823704,147.35,69.58,11.0,8.0,RUSSIAN FEDERATION,Asia
1979-03-29,1.1278026,147.35,69.58,11.0,8.0,RUSSIAN FEDERATION,Asia
1979-03-30,0.99704784,147.35,69.58,11.0,8.0,RUSSIAN FEDERATION,Asia
1979-03-31,0.42129773,147.35,69.58,11.0,8.0,RUSSIAN FEDERATION,Asia
1979-04-01,0.27611792,147.35,69.58,11.0,8.0,RUSSIAN FEDERATION,Asia
1979-04-02,0.44999707,147.35,69.58,11.0,8.0,RUSSIAN FEDERATION,Asia
1979-04-03,0.6990182,147.35,69.58,11.0,7.0,RUSSIAN FEDERATION,Asia
1979-04-04,1.3203348,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-04-05,1.521736,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-04-06,0.3005811,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-04-07,0.2069943,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-04-08,0.03819198,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-04-09,0.021796132,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-04-10,0.007028711,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-04-11,0.24754997,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-04-12,0.7317247,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-04-13,0.07496129,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-04-14,0.13684322,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-04-15,0.08971138,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-04-16,0.03691551,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-04-17,0.3976785,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-04-18,0.22529753,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-04-19,0.17192125,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-04-20,0.041903943,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-04-21,0.022292875,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-04-22,0.11676863,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-04-23,0.3267427,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-04-24,0.72183645,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-04-25,0.7627853,147.35,69.58,11.0,5.0,RUSSIAN FEDERATION,Asia
1979-04-26,0.85362494,147.35,69.58,11.0,5.0,RUSSIAN FEDERATION,Asia
1979-04-27,1.6695528,147.35,69.58,11.0,5.0,RUSSIAN FEDERATION,Asia
1979-04-28,0.7170111,147.35,69.58,11.0,5.0,RUSSIAN FEDERATION,Asia
1979-04-29,1.586133,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-04-30,1.6469655,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-05-01,0.074762285,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-05-02,0.53822553,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-05-03,0.23531595,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-05-04,0.07563664,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-05-05,1.2673191,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-05-06,1.0473931,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-05-07,0.76100767,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-05-08,0.55085444,147.35,69.58,11.0,6.0,RUSSIAN FEDERATION,Asia
1979-05-09,0.9475398,147.35,69.58,11.0,7.0,RUSSIAN FEDERATION,Asia
1979-05-10,0.3415537,147.35,69.58,11.0,7.0,RUSSIAN FEDERATION,Asia
1979-05-11,1.2348163,147.35,69.58,11.0,8.0,RUSSIAN FEDERATION,Asia
1979-05-12,0.8470152,147.35,69.58,11.0,8.0,RUSSIAN FEDERATION,Asia
1979-05-13,1.364004,147.35,69.58,11.0,9.0,RUSSIAN FEDERATION,Asia
1979-05-14,2.8774366,147.35,69.58,11.0,10.0,RUSSIAN FEDERATION,Asia
1979-05-15,3.7614412,147.35,69.58,11.0,12.0,RUSSIAN FEDERATION,Asia
1979-05-16,2.075129,147.35,69.58,11.0,13.0,RUSSIAN FEDERATION,Asia
1979-05-17,0.23339744,147.35,69.58,11.0,16.0,RUSSIAN FEDERATION,Asia
1979-05-18,0.48590082,147.35,69.58,11.0,19.0,RUSSIAN FEDERATION,Asia
1979-05-19,2.728642,147.35,69.58,11.0,26.0,RUSSIAN FEDERATION,Asia
1979-05-20,3.3898776,147.35,69.58,11.0,35.0,RUSSIAN FEDERATION,Asia
1979-05-21,0.85379994,147.35,69.58,11.0,48.0,RUSSIAN FEDERATION,Asia
1979-05-22,1.0252007,147.35,69.58,11.0,68.0,RUSSIAN FEDERATION,Asia
1979-05-23,0.4550093,147.35,69.58,11.0,95.0,RUSSIAN FEDERATION,Asia
1979-05-24,2.240882,147.35,69.58,11.0,95.0,RUSSIAN FEDERATION,Asia
1979-05-25,1.3866018,147.35,69.58,11.0,409.0,RUSSIAN FEDERATION,Asia
1979-05-26,1.5918692,147.35,69.58,11.0,820.0,RUSSIAN FEDERATION,Asia
1979-05-27,1.0964199,147.35,69.58,11.0,1280.0,RUSSIAN FEDERATION,Asia
1979-05-28,5.6544523,147.35,69.58,11.0,1660.0,RUSSIAN FEDERATION,Asia
1979-05-29,1.9018576,147.35,69.58,11.0,2000.0,RUSSIAN FEDERATION,Asia
1979-05-30,0.19174059,147.35,69.58,11.0,2460.0,RUSSIAN FEDERATION,Asia
1979-05-31,0.51190287,147.35,69.58,11.0,2990.0,RUSSIAN FEDERATION,Asia
1979-06-01,0.53562397,147.35,69.58,11.0,3780.0,RUSSIAN FEDERATION,Asia
1979-06-02,7.7786345,147.35,69.58,11.0,4940.0,RUSSIAN FEDERATION,Asia
1979-06-03,3.3358307,147.35,69.58,11.0,5550.0,RUSSIAN FEDERATION,Asia
1979-06-04,0.6068991,147.35,69.58,11.0,5830.0,RUSSIAN FEDERATION,Asia
1979-06-05,1.285568,147.35,69.58,11.0,5520.0,RUSSIAN FEDERATION,Asia
1979-06-06,1.959693,147.35,69.58,11.0,5000.0,RUSSIAN FEDERATION,Asia
1979-06-07,3.3594847,147.35,69.58,11.0,4630.0,RUSSIAN FEDERATION,Asia
1979-06-08,1.892808,147.35,69.58,11.0,4530.0,RUSSIAN FEDERATION,Asia
1979-06-09,0.7817921,147.35,69.58,11.0,4560.0,RUSSIAN FEDERATION,Asia
1979-06-10,0.31536064,147.35,69.58,11.0,4630.0,RUSSIAN FEDERATION,Asia
1979-06-11,0.6995721,147.35,69.58,11.0,4600.0,RUSSIAN FEDERATION,Asia
1979-06-12,1.829997,147.35,69.58,11.0,4450.0,RUSSIAN FEDERATION,Asia
1979-06-13,1.1379447,147.35,69.58,11.0,4280.0,RUSSIAN FEDERATION,Asia
1979-06-14,0.9262323,147.35,69.58,11.0,4130.0,RUSSIAN FEDERATION,Asia
1979-06-15,2.4890015,147.35,69.58,11.0,3970.0,RUSSIAN FEDERATION,Asia
1979-06-16,2.584452,147.35,69.58,11.0,3780.0,RUSSIAN FEDERATION,Asia
1979-06-17,4.30149,147.35,69.58,11.0,3580.0,RUSSIAN FEDERATION,Asia
1979-06-18,3.3137226,147.35,69.58,11.0,3390.0,RUSSIAN FEDERATION,Asia
1979-06-19,1.7708905,147.35,69.58,11.0,3310.0,RUSSIAN FEDERATION,Asia
1979-06-20,3.5277705,147.35,69.58,11.0,3300.0,RUSSIAN FEDERATION,Asia
1979-06-21,3.7422178,147.35,69.58,11.0,3440.0,RUSSIAN FEDERATION,Asia
1979-06-22,1.246177,147.35,69.58,11.0,3690.0,RUSSIAN FEDERATION,Asia
1979-06-23,0.309002,147.35,69.58,11.0,3970.0,RUSSIAN FEDERATION,Asia
1979-06-24,0.24995676,147.35,69.58,11.0,3970.0,RUSSIAN FEDERATION,Asia
1979-06-25,0.2049243,147.35,69.58,11.0,4100.0,RUSSIAN FEDERATION,Asia
1979-06-26,0.28374478,147.35,69.58,11.0,3950.0,RUSSIAN FEDERATION,Asia
1979-06-27,0.38236985,147.35,69.58,11.0,3740.0,RUSSIAN FEDERATION,Asia
1979-06-28,0.7815978,147.35,69.58,11.0,3530.0,RUSSIAN FEDERATION,Asia
1979-06-29,2.0578322,147.35,69.58,11.0,3210.0,RUSSIAN FEDERATION,Asia
1979-06-30,7.6893167,147.35,69.58,11.0,3100.0,RUSSIAN FEDERATION,Asia
1979-07-01,2.7771735,147.35,69.58,11.0,3140.0,RUSSIAN FEDERATION,Asia
1979-07-02,1.3420776,147.35,69.58,11.0,3360.0,RUSSIAN FEDERATION,Asia
1979-07-03,0.14495438,147.35,69.58,11.0,3660.0,RUSSIAN FEDERATION,Asia
1979-07-04,1.3503883,147.35,69.58,11.0,4040.0,RUSSIAN FEDERATION,Asia
1979-07-05,7.365093,147.35,69.58,11.0,4450.0,RUSSIAN FEDERATION,Asia
1979-07-06,9.033339,147.35,69.58,11.0,4890.0,RUSSIAN FEDERATION,Asia
1979-07-07,6.2575855,147.35,69.58,11.0,5170.0,RUSSIAN FEDERATION,Asia
